p0_66,70,1847.96
p0_66,100,1125.22
p0_66,115,1636.88
p0_66,130,1500.98
p0_66,145,2160.9
p0_66,160,150.463
p0_66,175,252.838
p0_66,190,160.362
p0_66,205,263.812
p0_66,220,240.398
p0_66,235,312.215
p0_66,250,355.463
p0_66,265,310.052
p0_66,280,375.671
p0_66,295,245.505
p0_66,310,485.659
p0_66,325,241.515
p0_66,340,422.763
p0_66,355,366.78
p0_66,370,374.009
p0_66,385,437.146
p0_66,400,353.289
p0_66,415,408.038
p0_66,430,179.898
p10_36,70,807.613
p10_36,85,2694.69
p10_36,100,1501.35
p10_36,115,615.797
p10_36,130,967.48
p10_36,145,1188.52
p10_36,160,170.334
p10_36,175,341.796
p10_36,190,657.203
p10_36,205,92.8317
p10_36,220,381.974
p10_36,235,198.24
p10_36,250,228.069
p10_36,265,485.556
p10_36,280,215.521
p10_36,295,500.12
p10_36,310,396.259
p10_36,325,474.425
p10_36,340,421.504
p10_36,355,465.52
p10_36,370,349.628
p10_36,385,525.484
p10_36,400,276.462
p10_36,415,205.3
p10_36,430,166.134
p11_70,55,635.608
p11_70,70,377.146
p11_70,85,1238.54
p11_70,100,1001.01
p11_70,115,428.259
p11_70,130,1074.57
p11_70,145,2444.54
p11_70,160,993.489
p11_70,175,540.41
p11_70,205,349.185
p11_70,220,236.165
p11_70,235,280.676
p11_70,250,318.453
p11_70,265,359.228
p11_70,280,278.367
p11_70,295,282.895
p11_70,310,709.68
p11_70,325,394.783
p11_70,340,351.83
p11_70,355,329.872
p11_70,370,507.901
p11_70,385,398.181
p11_70,400,856.689
p11_70,415,344.903
p11_70,430,338.052
p11_70,445,511.293
p11_70,460,317.02
p11_98,55,429.052
p11_98,70,217.84
p11_98,85,227.028
p11_98,100,792.299
p11_98,130,94.96
p11_98,145,269.041
p11_98,160,257.934
p11_98,175,120.794
p11_98,190,281.184
p11_98,220,344.445
p11_98,235,133.698
p11_98,250,175.04
p11_98,265,511.55
p11_98,280,287.498
p11_98,295,273.737
p11_98,310,226.452
p11_98,325,346.3
p11_98,340,206.009
p11_98,355,329.607
p11_98,370,331.262
p11_98,385,380.911
p11_98,400,159.61
p11_99,55,211.228
p11_99,85,1739.26
p11_99,100,341.043
p11_99,115,479.954
p11_99,145,186.566
p11_99,160,498.357
p11_99,175,286.329
p11_99,190,283.327
p11_99,205,106.121
p11_99,220,231.476
p11_99,235,365.117
p11_99,250,203.278
p11_99,265,178.37
p11_99,280,402.627
p11_99,295,259.936
p11_99,310,328.882
p11_99,325,368.768
p11_99,340,303.359
p11_99,355,249.488
p11_99,370,314.058
p11_99,385,339.953
p11_99,400,264.491
p11_99,415,270.461
p11_99,430,442.039
p12_21,70,218.82
p12_21,85,743.454
p12_21,100,377.535
p12_21,115,569.797
p12_21,130,378.175
p12_21,145,132.683
p12_21,160,111.43
p12_21,175,132.376
p12_21,190,302.777
p12_21,205,214.541
p12_21,220,259.229
p12_21,235,120.359
p12_21,250,189.282
p12_21,265,171.288
p12_21,280,183.549
p12_21,295,232.354
p12_21,310,234.63
p12_21,325,225.56
p12_21,340,275.089
p12_21,355,302.825
p12_21,370,263.153
p12_21,385,437.539
p12_21,400,334.92
p12_21,415,145.025
p12_21,430,239.974
p12_24,55,2203.52
p12_24,70,557.26
p12_24,85,974.851
p12_24,100,2247.81
p12_24,115,1128.86
p12_24,130,1597.75
p12_24,145,2269.2
p12_24,160,1863.57
p12_24,175,2828.48
p12_24,190,2513.29
p12_24,205,1052.25
p12_24,220,1342.64
p12_24,235,1753.55
